dataset,algo,metric,k,linkage,distance_threshold,eps,min_samples,random_state,n_clusters,noise_ratio,intra_mean,inter_mean,silhouette,homogeneity,completeness,v_measure
IEEE-CIS,agglomerative,euclidean,4,average,,,,,4,0.0,67.95024792240355,325.1470586935282,0.9218428126765204,0.0013901355112960524,0.26283474827537395,0.002765643507483977
IEEE-CIS,agglomerative,euclidean,5,average,,,,,5,0.0,99.17455373997014,324.3599953090717,0.9194454938291642,0.002412792660670938,0.26970200613906786,0.00478279772986162
IEEE-CIS,agglomerative,euclidean,6,average,,,,,6,0.0,64.14359620984025,317.5419021847874,0.917958271838945,0.0026747013148953874,0.2904741929238994,0.005300594483046919
IEEE-CIS,agglomerative,euclidean,2,single,,,,,2,0.0,22.929273075770094,312.4562625599536,0.9323651806421172,0.000364362813196859,0.2659944876516621,0.0007277287737687046
IEEE-CIS,agglomerative,euclidean,3,single,,,,,3,0.0,68.33373412242534,317.15515671016686,0.9220155357379888,0.0010937708979978128,0.279076749274816,0.002179001748480498
IEEE-CIS,agglomerative,euclidean,4,single,,,,,4,0.0,68.75797577384677,316.4630197255386,0.921879591419763,0.0016481015432399896,0.311608724998239,0.003278861158281199
IEEE-CIS,agglomerative,euclidean,5,single,,,,,5,0.0,67.91662759702929,315.2225035474413,0.9017977865100495,0.0020243855760683164,0.30401865721003024,0.004021989710393761
IEEE-CIS,agglomerative,euclidean,6,single,,,,,6,0.0,68.44140558430729,322.6322011315706,0.9018939569241295,0.0023207158806166943,0.2890603558332217,0.0046044648974157155
IEEE-CIS,agglomerative_h,euclidean,,ward,10.0,,,42,2798,0.0,,,,,,
IEEE-CIS,agglomerative_h,euclidean,,ward,20.0,,,42,1054,0.0,,,,,,
IEEE-CIS,agglomerative_h,euclidean,,ward,40.0,,,42,358,0.0,,,,,,
IEEE-CIS,agglomerative_h,euclidean,,average,10.0,,,42,2107,0.0,,,,,,
IEEE-CIS,agglomerative_h,euclidean,,average,20.0,,,42,619,0.0,,,,,,
IEEE-CIS,agglomerative_h,euclidean,,average,40.0,,,42,160,0.0,,,,,,
IEEE-CIS,agglomerative_h,euclidean,,complete,10.0,,,42,2511,0.0,,,,,,
IEEE-CIS,agglomerative_h,euclidean,,complete,20.0,,,42,786,0.0,,,,,,
IEEE-CIS,agglomerative_h,euclidean,,complete,40.0,,,42,222,0.0,,,,,,
IEEE-CIS,dbscan,euclidean,,,,0.5,5,,0,1.0,,,,,,
IEEE-CIS,dbscan,euclidean,,,,0.5,10,,0,1.0,,,,,,
IEEE-CIS,dbscan,euclidean,,,,0.5,20,,0,1.0,,,,,,
IEEE-CIS,dbscan,euclidean,,,,1.0,5,,2,0.998375,0.8177834587856997,14.687430261626577,0.9401255971132245,1.0,1.0,1.0
IEEE-CIS,dbscan,euclidean,,,,1.0,10,,0,1.0,,,,,,
IEEE-CIS,dbscan,euclidean,,,,1.0,20,,0,1.0,,,,,,
IEEE-CIS,dbscan,euclidean,,,,1.5,5,,13,0.987125,1.6036934425875837,8.751466012630253,0.35875466374229265,1.0000000000000009,0.13826310338936876,0.24293698526758398
IEEE-CIS,dbscan,euclidean,,,,1.5,10,,1,0.998625,1.3452839560745635,,,1.0,1.0,1.0
IEEE-CIS,dbscan,euclidean,,,,1.5,20,,0,1.0,,,,,,
